post_id,h1,h2,h3,h4,h5,h6,h7,h8,title,reasoning
5ff2832600000000010063f0,1,0,0,0,0,0,0,0,Girl’s talk真心话碎碎念✈️ 错过再等一年,错过再等一年暗示不行动的代价
61f68f2f000000002103c81b,1,1,0,0,0,0,0,0,快来捡漏手慢无🙊 发现2⃣个清宝藏铺,手慢无暗示不行动的代价，捡漏强调好处
621b877900000000010295c0,0,1,0,0,1,0,0,0,太爽了吧！超厉害的省钱秘密！看完省下一个亿,省钱好处明显，对比省钱前后
63f6e3330000000013010a72,0,1,0,0,0,0,0,0,写小说必备工具：专治词汇量匮乏，文笔不好,提供工具解决词汇量和文笔问题，强调好处
63f743c5000000001300fafe,0,0,0,0,0,0,0,0,鱼丸的书桌介绍来了🤗,无明显心理钩子
63f749f90000000013031e65,0,0,1,0,0,0,0,0,两人共同努力的第二套房、不敢发朋友圈的家,标题故意隐藏不敢发朋友圈的原因
63f74e4e00000000130335b1,1,0,0,0,0,0,0,0,血泪教训😭全屋定制坑人地方太多了‼️,不行动（不注意全屋定制问题）导致损失，引
63f820da0000000013009224,0,0,0,0,1,0,0,0,麻雀虽小五脏俱全,标题和图片形成大小对比，引发探索欲
63f8392d0000000014027f6a,0,0,1,0,1,0,0,0,深蹲进阶‼️从半蹲到全蹲，我做对了什么,自问自答+对比半蹲和全蹲
63f861c1000000001303c6e1,0,1,0,1,0,0,0,0,极简风客厅｜没想到亮面砖通铺既简约又通透,提供简约装修好处，包装为意外新奇
63f8635f00000000130166f4,0,0,0,0,1,0,0,0,案例专辑❤️学习 | 厂区更新,对比更新前后的厂区视觉反差
63f8c49300000000270018eb,0,0,0,0,0,0,0,0,“乡村振兴”话题范文积累,内容为范文积累，无明显心理钩子
63f8cbd5000000001303e2db,0,1,0,0,1,0,1,0,减肥干货｜瘦了二十斤的经验分享,减肥前后对比，展示差距和态度
63f94b290000000011012acf,0,1,0,0,0,0,0,0,🍃气质可比五官重要多了 开肩薄背-练好体态,强调练好体态带来的气质提升好处
63f9f8760000000014026ccb,0,0,1,0,0,0,0,0,3.6版本卡池复刻角色！有你想要的角色吗？,标题提出问题，引导观众点击寻找答案
63faaa4f000000001300936d,0,0,0,1,0,0,0,0,极限拉扯,标题使用'极限'包装内容为罕见新奇
63fb0b1f000000001303e428,0,1,0,0,0,0,0,0,小户型就做原木风吧，有阳光的时候很舒服😌,提供舒适生活的好处
63fb4b9a0000000013033498,0,0,0,0,0,0,0,0,木工说: 真佩服你为了打柜子 还特意学画图！,无明显心理钩子
63fb616b000000001303f1a3,0,0,1,0,0,1,0,0,麻了麻了已经无从下手了家人们,信息缺口+群体标签
63fc5bfb000000000800fa66,0,0,0,0,0,1,0,1,长期以来，我们的教师观多少有些问题,提及教师群体，权威人士朱永新观点
63fc76ed0000000013034982,0,1,0,0,0,1,0,0,一次谷子桌面收纳开箱！,提供收纳好处，提及特定群体
63fd950d0000000013004d3c,1,0,0,0,0,1,0,0,🈲绝对不能和同事说的8句话❗职场社交禁,不行动（不说）导致职场风险，同事群体标签
63fda221000000001203c802,0,1,0,0,0,0,0,0,分享一个减脂期也能吃的抹茶酱！！,提供减脂期美食，强调健康好处
63fdd3a5000000000800fda8,0,1,0,0,0,0,0,0,一个小细节能让你家瞬间变高级！,强调通过小细节提升家居品质，带来好处
63fe2ed60000000011011e91,0,0,0,0,0,0,0,0,会计转行摆摊的第7天,无明显心理钩子
63fe48da000000000800d387,0,1,0,0,0,0,0,0,春天的第一条仙女裙,强调获得美丽裙子的好处
63fee9e4000000000800d954,0,0,0,0,0,0,0,0,看完第八集久久不能从情绪中出来💧,无明显心理钩子
64000353000000000800d341,0,0,0,1,0,0,0,0,厦门的小马尔代夫🏝️本地人的小众景点,标题使用'小马尔代夫'包装景点为新奇罕见
64014e010000000013036e75,0,1,0,0,0,0,0,0,🎺甜蜜庆典小旗子🎉送朋友的永远不觉得麻烦,送朋友礼物带来情感好处
6401a0eb0000000027028610,0,0,0,0,0,0,0,0,《乌梅子酱》光遇简谱,无明显心理钩子
6401c9b70000000013034699,0,0,0,1,0,0,0,0,你们是认真的吗，这是自带杯？！,标题使用'这是自带杯？！'表现反常
6404458b00000000130151cc,0,1,0,0,0,0,0,0,家宴｜8道春天时令菜2小时花费173元（附教程,提供时令菜教程，节省时间和金钱
64047bdd00000000270291e1,0,0,0,0,0,0,0,0,宿舍美食大赏🥣,无明显心理钩子
6404a61b000000001203e91e,0,1,0,0,0,0,0,0,175 146微胖｜早春氛围感辣妹穿搭🎐请查收！,提供穿搭技巧，提升形象
64060cad000000000800e44b,0,1,0,1,1,0,0,0,杭州西湖边！！7个菜95r😭😭！！！,价格对比和惊异表达
640617350000000013036938,0,0,1,0,0,0,0,0,不极致但舒适！simple pieces全系测评！,标题设置悬念，引导点击了解产品力
64068a19000000001300f638,0,0,0,0,0,1,0,0,🇯🇵学美容学生的粉色房间分享,提及美容学生群体标签，激发认同
64068c990000000014026d70,0,0,1,0,0,0,0,0,公务员面试：帮忙帮出了麻烦怎么办？,标题提出问题，引导点击找答案
6406acf70000000013035f5c,0,1,0,0,0,0,0,0,🆘那些陪我瘦了20斤的低卡好物合集～,提供低卡好物，强调健康和减肥好处
6406cf180000000013033ea6,0,1,0,0,0,0,0,0,教资科二超高频考点,提供高频考点，帮助节省时间备考
64072c240000000013005abc,0,1,0,0,0,1,0,0,花费3.2💰00后实习生下班如何快速吃上饭！,提供快速吃饭方法，针对00后实习生群体
640747000000000013016c25,0,0,0,1,0,0,0,0,原来恋爱脑➕粘人精是纯爱顶配啊,使用'顶配'包装恋爱模式为罕见新奇
6407526d000000001300be22,1,1,0,1,0,0,0,0,5篇笔记涨粉10w，我做梦都不敢这么想,不行动会错过涨粉机会，强调好处，包装成罕
