post_id,h1,h2,h3,h4,h5,h6,h7,h8,title,reasoning
5ff2832600000000010063f0,1,0,0,0,0,1,0,0,Girl’s talk真心话碎碎念✈️ 错过再等一年,错过再等一年，girl's talk
61f68f2f000000002103c81b,1,1,1,1,0,0,0,0,快来捡漏手慢无🙊 发现2⃣个清宝藏铺,"FOMO, Gain, 信息缺口, no"
621b877900000000010295c0,0,1,0,1,0,0,0,0,太爽了吧！超厉害的省钱秘密！看完省下一个亿,省钱秘密，超厉害，太爽了
63f6e3330000000013010a72,1,1,0,0,0,0,0,0,写小说必备工具：专治词汇量匮乏，文笔不好,不使用工具会词汇匮乏；提供工具获得写作技
63f743c5000000001300fafe,0,0,0,0,0,0,0,0,鱼丸的书桌介绍来了🤗,
63f749f90000000013031e65,1,0,0,0,0,0,0,0,两人共同努力的第二套房、不敢发朋友圈的家,不敢发朋友圈，暗示不行动的代价
63f74e4e00000000130335b1,1,1,1,0,0,0,0,0,血泪教训😭全屋定制坑人地方太多了‼️,血泪教训暗示不行动的代价，全屋定制坑人地
63f820da0000000013009224,0,0,0,0,0,0,0,0,麻雀虽小五脏俱全,
63f8392d0000000014027f6a,0,1,1,0,1,0,1,0,深蹲进阶‼️从半蹲到全蹲，我做对了什么,h2:获得技能；h3:问题探针；h5:半
63f861c1000000001303c6e1,0,1,0,1,0,0,0,0,极简风客厅｜没想到亮面砖通铺既简约又通透,“没想到”亮面砖通铺，新奇；简约通透是好
63f8635f00000000130166f4,0,1,0,0,1,0,0,0,案例专辑❤️学习 | 厂区更新,学习案例，获得知识；更新前后对比。
63f8c49300000000270018eb,0,1,0,0,0,0,0,0,“乡村振兴”话题范文积累,范文积累，提供写作好处
63f8cbd5000000001303e2db,1,1,0,0,1,0,1,0,减肥干货｜瘦了二十斤的经验分享,h1:不看经验分享会错过减肥机会；h2:
63f94b290000000011012acf,1,1,0,0,1,0,1,0,🍃气质可比五官重要多了 开肩薄背-练好体态,h1:不练好体态的代价；h2:练好体态的
63f9f8760000000014026ccb,1,0,1,0,0,1,0,0,3.6版本卡池复刻角色！有你想要的角色吗？,预测卡池，错过后悔。提问引导点击。游戏群
63faaa4f000000001300936d,0,0,0,0,0,0,0,0,极限拉扯,
63fb0b1f000000001303e428,0,1,0,0,0,0,0,0,小户型就做原木风吧，有阳光的时候很舒服😌,原木风，舒服，属于正面意向。
63fb4b9a0000000013033498,0,0,0,1,0,0,0,0,木工说: 真佩服你为了打柜子 还特意学画图！,“真佩服你...还特意学画图”暗示了反常
63fb616b000000001303f1a3,0,0,1,0,0,1,0,0,麻了麻了已经无从下手了家人们,提问“科二咋办”，信息缺口。家人们，群体
63fc5bfb000000000800fa66,1,0,0,0,1,1,0,0,长期以来，我们的教师观多少有些问题,不改变教师观，无法获得幸福感；传统教师观
63fc76ed0000000013034982,0,1,0,0,0,1,0,0,一次谷子桌面收纳开箱！,收纳开箱，提供收纳技巧；谷子是群体标签。
63fd950d0000000013004d3c,1,0,1,0,0,1,0,0,🈲绝对不能和同事说的8句话❗职场社交禁,不听劝告的代价是职场社交失败；职场社交是
63fda221000000001203c802,0,1,0,0,0,0,0,0,分享一个减脂期也能吃的抹茶酱！！,减脂期也能吃，属于gain appeal
63fdd3a5000000000800fda8,1,1,1,1,0,0,1,0,一个小细节能让你家瞬间变高级！,h1:不行动会损失变高级的机会；h2:变
63fe2ed60000000011011e91,0,0,0,0,0,0,0,0,会计转行摆摊的第7天,
63fe48da000000000800d387,1,1,0,0,0,0,0,0,春天的第一条仙女裙,第一条暗示不穿会错过，仙女裙暗示变美。
63fee9e4000000000800d954,1,0,1,0,0,0,0,0,看完第八集久久不能从情绪中出来💧,看完第八集久久不能从情绪中出来，暗示不看
64000353000000000800d341,1,1,0,1,0,1,0,0,厦门的小马尔代夫🏝️本地人的小众景点,h1:错过小众景点有损失；h2:获得景点
64014e010000000013036e75,0,1,0,0,0,0,0,0,🎺甜蜜庆典小旗子🎉送朋友的永远不觉得麻烦,送朋友不觉得麻烦，是好处。
6401a0eb0000000027028610,0,1,0,0,0,1,0,0,《乌梅子酱》光遇简谱,提供简谱，获得技能；光遇玩家
6401c9b70000000013034699,0,0,0,1,1,0,0,0,你们是认真的吗，这是自带杯？！,自带杯是电饭煲，反常；电饭煲和咖啡对比
6404458b00000000130151cc,0,1,0,0,0,0,0,0,家宴｜8道春天时令菜2小时花费173元（附教程,教程可以帮助用户学会做菜。
64047bdd00000000270291e1,0,1,0,0,0,1,0,0,宿舍美食大赏🥣,宿舍美食，有群体标签，美食是好处。
6404a61b000000001203e91e,0,1,0,0,0,1,0,0,175 146微胖｜早春氛围感辣妹穿搭🎐请查收！,提供穿搭，变美。微胖辣妹穿搭，群体标签。
64060cad000000000800e44b,1,1,0,1,0,0,0,0,杭州西湖边！！7个菜95r😭😭！！！,低价不行动会错过，省钱，竟然这么便宜
640617350000000013036938,1,1,1,0,0,0,0,0,不极致但舒适！simple pieces全系测评！,h1:老公嫌弃，不买会损失；h2:平价；
64068a19000000001300f638,0,0,0,0,0,1,0,0,🇯🇵学美容学生的粉色房间分享,美容学生是群体标签，分享是群体共性
64068c990000000014026d70,1,1,1,0,0,1,0,0,公务员面试：帮忙帮出了麻烦怎么办？,h1:不行动有代价;h2:提供面试技巧;
6406acf70000000013035f5c,1,1,0,0,0,0,1,0,🆘那些陪我瘦了20斤的低卡好物合集～,h1:不行动会错过瘦20斤的机会。h2:
6406cf180000000013033ea6,1,1,0,1,0,0,0,0,教资科二超高频考点,不看就错过高频考点，错过考试；能获得考点
64072c240000000013005abc,0,1,0,0,0,1,0,0,花费3.2💰00后实习生下班如何快速吃上饭！,快速吃上饭，省时间。00后实习生群体标签
640747000000000013016c25,1,1,0,1,0,1,1,0,原来恋爱脑➕粘人精是纯爱顶配啊,恋爱脑是顶配，不恋爱脑会损失；恋爱是好处
6407526d000000001300be22,0,1,0,1,0,0,0,0,5篇笔记涨粉10w，我做梦都不敢这么想,涨粉10w是好处；“做梦都不敢想”是反常
640842690000000013014e14,1,1,1,0,0,0,1,0,来重庆🚉拍完李子坝轻轨还有更好看的小黄楼,有更好看的，暗示不行动的损失；更好看是好
64084dde000000001402513d,1,1,1,0,0,0,0,0,保持饥饿感不仅仅会让你瘦,不保持饥饿感会有损失，且有好处，挖空信息
640854ca000000001300a2ac,1,0,0,0,0,0,0,0,寄生世界（33）：寄生等级达到5阶段,不寻求庇护会有损失，触发了fomo
